steam_id,pais,total_jogos,jogos_ids
76561198320338168,BR,PRIVADO,
76561198103820259,BR,78,440;550;570;1200;1230;1280;2590;12120;12250;24240;31280;65790;91200;105600;107410;113200;203160;218620;220820;221100;222880;224420;226700;227300;232770;234190;239820;243780;251690;253900;253980;254000;254040;255710;257080;263680;271590;275490;292030;300220;301690;301700;304930;307690;315260;322330;346110;394310;407530;424840;431960;444200;518790;520720;582660;646910;703080;706220;739630;779340;845070;967050;1091500;1097150;1174180;1238810;1238840;1313860;1506830;1517290;1551360;1808500;2149010;2195250;2208920;3240220;3405690;3527290
76561198166489597,BR,101,440;550;620;730;4000;6000;6060;32470;32510;49520;57300;204880;206420;213120;214510;218620;224220;226720;227300;239200;242700;244210;250340;252950;253430;253920;265930;268650;271590;273350;274940;275850;278360;284160;285160;285900;286160;304050;304930;308600;311210;321260;322170;322330;346110;374040;376870;381210;383180;407530;413150;431960;446560;475150;489520;489630;495420;496300;526870;548430;552100;552500;553850;559650;582660;593600;599140;600420;611500;613100;616720;629520;640590;646910;657200;671860;706220;739630;780310;897820;990080;993090;1063730;1091500;1134700;1237950;1260320;1262240;1313140;1389990;1422450;1492070;1623730;1760340;1966720;3240220;3241660;3489700;3527290;3716600;4069520
76561198261886351,BR,79,400;550;620;3590;4000;7670;17390;218620;220240;226620;234140;234670;241930;242050;242760;246620;268910;286160;288160;289070;304050;304930;322330;346110;349040;356190;359550;367520;381210;407530;409710;412830;413150;424840;427520;431960;433340;489830;495140;504230;526870;543870;582010;582660;584640;606150;623990;632360;646570;646910;647830;739630;814380;960090;1030300;1042550;1091500;1237970;1238840;1245620;1274570;1293830;1295920;1302240;1364780;1422450;1446780;1588530;1623730;1687950;1903340;1919460;1948280;1971650;1984270;2149010;2246340;2379780;3527290
76561198285534477,BR,15,730;238460;435150;578080;582660;706220;924140;1097150;1422450;1426210;1607680;1818750;3097560;3241660;3405340
76561198308806757,N/A,PRIVADO,
76561198365721356,N/A,PRIVADO,
76561198397177352,BR,600,10;20;30;40;50;60;70;80;100;130;220;240;280;300;320;360;400;440;500;550;620;730;1250;2280;2290;2300;3050;3590;3830;4000;6060;6870;6880;6910;6920;6980;7000;7010;7670;8000;8080;8100;8140;8170;8190;8650;8850;8870;9050;9070;9160;11280;11450;12100;12110;12120;12150;12200;12230;12240;12250;17390;17410;19680;20900;20920;21000;21130;22380;28000;31280;32330;32430;32440;32450;32510;33100;33120;34190;34270;34330;34600;35000;35070;35130;35140;35420;39160;39190;39200;39210;40100;40800;40990;41000;43110;43160;44350;46500;46510;49520;55150;65790;71250;71340;91100;95400;96000;105600;107100;200260;200940;202530;203160;203650;204120;204340;204360;204450;205100;205910;205950;207020;207140;207530;208140;208200;208400;208610;208650;209000;211600;211740;211780;211820;212480;213330;213610;213670;214490;214510;215530;218620;219150;219910;219950;219990;220440;221260;221680;222880;223470;224300;224480;224820;224920;224940;224960;224980;225000;225020;225080;225260;225300;225320;225540;227300;227600;231430;232090;232770;233130;234140;235460;235900;236870;237930;238010;238320;238460;239030;239140;239160;239350;240720;242700;242760;242940;242960;242980;243000;243020;243470;245010;245170;246900;247080;247120;249050;249130;249870;250180;250400;250900;251130;252150;252410;253230;254700;255520;255710;257850;258180;258590;259170;261570;261640;262060;265210;265930;266310;267530;268910;269210;269310;269670;272060;274170;274190;275850;277430;278360;282400;282800;283270;285160;285900;286160;286690;287290;287390;288160;289070;289690;289800;292030;293180;296470;297130;303390;304050;304390;304430;306350;307690;308040;310510;310560;310950;311340;311690;311770;312520;312530;312670;313690;314160;316260;319630;319830;322170;322330;322500;324570;324800;327030;329050;329440;329860;331870;332260;332310;335190;335300;337000;341800;342310;343360;344740;346110;346290;350640;351920;351940;352400;355170;356500;356650;359550;359900;362890;362930;363600;365160;365450;366250;366260;367450;367500;367520;367540;368180;368230;374320;377360;377600;378610;379720;381210;383150;383270;385800;386940;387290;389170;390710;391220;391540;394510;395160;397540;397720;400080;400170;401680;403120;403640;405310;407530;409710;409720;410110;412020;413150;414700;418460;420000;420530;420740;421740;424840;427820;428550;431960;433340;434050;437920;438640;442070;447040;449220;460790;460950;464920;465760;466630;469820;470220;475150;475550;477160;485310;488790;489520;489630;489830;490860;492720;493340;496300;499520;504230;508900;513370;514920;520440;522040;522210;530370;537800;538840;540840;541640;541660;541670;548430;551110;552500;555000;556130;557340;559650;561770;564310;570940;571310;578330;582660;584400;584640;585420;585690;586140;588210;588650;601150;601220;602960;606150;608990;611500;613900;616560;617670;618140;619700;623990;627270;628950;629520;631510;632360;632470;636150;637100;638970;639790;640590;640890;644560;646910;647830;648800;651150;654310;657200;660160;674140;674520;674940;678950;682990;683320;684680;696140;700100;702150;706220;710470;714620;719750;720030;728240;729660;732430;760620;769920;774171;774361;782330;785260;797410;803330;804010;814200;814380;816020;818320;820540;823130;829110;835950;837470;843500;844590;845070;847370;860510;863550;878750;881320;900270;909820;916730;920210;939620;943140;945360;960090;960240;972660;976310;976730;985890;990630;1016790;1016920;1020470;1022310;1028570;1046030;1049320;1056690;1057090;1066260;1068600;1069740;1071870;1078000;1085510;1089980;1091500;1093910;1097150;1102880;1103490;1140630;1144770;1145360;1146950;1148590;1158500;1160330;1172380;1172620;1174180;1180660;1184480;1191900;1194250;1203420;1209490;1222670;1222680;1222700;1223750;1225570;1227690;1229490;1233570;1237950;1237970;1238080;1238840;1244460;1245620;1260320;1261530;1262560;1271710;1291340;1294660;1332010;1333470;1334590;1378990;1390350;1390740;1392820;1422450;1449560;1451480;1454400;1455900;1466640;1515950;1545450;1602080;1604000;1657630;1667400;1712840;1794680;1817070;1817190;1817230;1818750;1911390;1966720;1995590;2149010;2181930;2187290;2215260;2475490;2539960;2881650;3062930;3146520;3527290
76561198400024070,N/A,34,10;80;100;730;12120;12200;12250;21690;108600;218620;304050;304930;322330;346110;359550;376210;407530;431240;431960;460930;495420;611500;623990;665360;739630;815370;953880;1087760;1818750;2141730;2322010;3241660;3527290;3543890
76561198408714684,N/A,39,550;730;1250;3590;4000;12120;12250;35420;221100;267960;271590;322330;343180;346110;356290;359550;381210;407530;413150;435010;578080;623990;632360;648800;655180;709410;743640;756880;760460;776190;778590;782300;796440;796480;815370;962130;1097150;1422450;3240220
76561198577817824,N/A,0,
76561198797624743,BR,PRIVADO,
76561198802351715,N/A,157,10;20;30;40;50;60;70;80;100;130;220;240;280;300;320;360;400;440;500;550;620;730;3590;4000;12200;17390;40800;42910;48000;49520;105600;108600;113200;204360;207140;211820;212680;214790;218620;218680;219640;219740;235540;238370;239140;242760;245170;248820;250180;250900;262060;268910;269210;275850;281990;282440;289070;293180;296870;311690;322330;330020;346110;362890;367520;367540;391540;394510;396750;397080;397540;407530;413150;442070;445980;457140;474750;489630;489830;504230;544610;548430;552500;553850;582660;588650;599140;613100;632360;646570;648800;673880;674940;683320;701160;717640;787480;812140;815370;881100;892970;945360;960090;962130;975680;976730;993090;1030300;1039360;1086940;1144770;1145360;1147860;1150690;1174180;1229490;1237970;1238840;1262240;1325900;1337520;1356040;1361210;1382320;1392820;1422450;1454400;1484720;1712840;1747890;1794680;1818750;1887400;1919460;1919470;1922560;1966720;1966900;2088570;2141730;2181930;2231450;2337860;2365810;2379780;2437040;2617700;2694490;2784470;2828500;2881650;3097560;3241660;3339780;3527290;3716600;3805420
76561198806973520,N/A,PRIVADO,
76561198809131830,N/A,0,
76561198965260815,N/A,0,
76561199041716837,N/A,PRIVADO,
76561199084942836,N/A,0,
76561199109781554,BR,79,440;550;6850;6860;6900;21690;35140;43160;49520;105600;108600;200260;203140;205930;208650;221040;234140;235900;237930;239140;239820;245170;247430;254700;259170;269210;271590;286160;287700;311340;322330;346110;348550;359550;383180;397540;407530;431960;462770;548430;553850;574980;582010;582660;586140;594650;623990;632360;702890;770720;774361;794260;961490;993090;1002300;1086940;1090630;1145360;1169040;1229490;1238810;1245620;1274570;1422450;1446780;1498570;1517290;1623730;1671210;1744330;1888160;1966720;2212330;2246340;3050900;3124340;3240220;3405340;3716600
76561199159522860,N/A,0,
76561198268804715,RU,105,10;80;100;440;550;620;730;4000;8190;12210;35450;107410;108600;206690;214250;218620;221100;225540;227300;231430;235720;238320;239140;242760;243470;244210;251570;252170;252490;252950;263060;264710;271590;273350;278360;285900;286120;286690;287700;292030;304390;304930;305620;307690;321040;322330;324800;346110;359550;381210;393380;393420;395760;407530;412020;414700;424840;431960;447040;527450;534380;550040;578080;617670;623990;629520;646910;648800;654310;674940;729720;739630;743640;774941;855860;859570;880940;892970;895400;945360;976310;1006710;1097150;1144200;1167630;1172380;1174180;1238860;1239260;1262540;1293830;1304930;1326470;1357870;1449560;1570330;2149010;2231380;2475460;2567870;2707940;2835570;3240220;3241660;3949040
76561198307594449,N/A,PRIVADO,
76561198829331912,RU,0,
76561198963790451,N/A,0,
76561199059854155,N/A,0,
76561199085192358,PS,0,
76561199154603251,N/A,0,
76561199656151734,N/A,PRIVADO,
76561199674554063,N/A,9,271590;381210;859570;1237950;1404210;1922560;1971870;2315690;3240220
76561197967906271,N/A,0,
76561197979564704,N/A,PRIVADO,
76561198045892402,N/A,PRIVADO,
76561198064543608,BR,52,440;550;570;620;730;6850;6860;6900;33460;45760;105600;203140;205930;217790;218620;219740;221100;222900;242700;242760;247430;252950;268910;271590;282070;304930;307780;310950;322330;356190;381210;393380;424840;513710;553850;559650;578080;588650;657200;671860;678950;686810;739630;774941;815370;895400;945360;1174180;1556790;1987080;2149010;3240220
76561198069174607,N/A,PRIVADO,
76561198072853844,BR,0,
76561198079957202,N/A,0,
76561198086154752,BR,0,
76561198098752272,N/A,0,
76561198106369332,BR,PRIVADO,
76561198118835188,N/A,69,10;80;100;240;550;620;730;9480;10090;12200;12210;24240;24960;49520;55230;202970;202990;204450;206420;208650;212910;218620;222440;224540;228380;238320;239140;242700;251570;265930;271590;272860;275850;285900;286690;289070;289650;292030;304930;322330;327030;346110;349040;367500;370240;386940;407530;454650;489830;495420;582010;633230;678950;728880;851850;976310;990080;1150640;1174180;1222680;1225330;1238860;1274570;1506830;1604030;1712840;2835570;3240220;3241660
76561198119082871,BR,315,10;20;30;40;50;60;70;80;100;130;220;240;280;300;320;360;400;500;550;620;730;1700;2360;2370;2390;2600;3830;4500;7670;7940;8850;8870;9060;12100;12110;12120;12230;12240;12250;20900;20920;22370;22380;29900;34330;35130;38400;38410;38420;39140;40990;43110;43160;47790;47830;49520;55150;55230;94300;105600;204240;204360;207320;208140;209000;211820;214340;218620;224300;224940;225260;226560;226840;227300;231430;232090;234140;235900;238370;245170;245390;248820;249050;252230;252410;262060;263300;264710;269210;282440;282800;286160;286690;287390;289130;289690;292030;302190;304240;304930;307110;310950;320040;322210;322330;327030;330020;331600;335300;339800;342380;344740;346110;351100;351510;351970;360170;360940;361420;362890;367500;367520;367540;370660;372360;373600;374320;377160;379720;382140;383150;383180;383270;384310;389730;390290;391540;394510;397080;403120;405900;407530;409710;409720;410110;412020;413150;418460;418670;420740;424840;429660;431710;431960;434050;435150;442070;443910;460960;464920;470220;487000;489520;489630;489830;503560;504390;520720;544610;548430;552500;553850;554620;555000;559210;561770;569610;570940;582010;582660;585690;590830;598780;599140;602960;606680;609920;610570;611500;613100;613900;615010;617290;619700;624690;632360;638070;640820;640890;646570;648800;649950;654610;656880;660160;672230;674940;683320;706220;710120;727110;729460;729720;738520;739630;739650;740240;740410;746850;753660;765410;765870;774171;774361;774801;794260;796440;813540;846770;858820;878750;880940;884260;892970;897630;927250;928840;945360;976310;1025440;1035510;1061910;1063730;1089350;1090630;1097150;1134700;1141550;1162130;1169040;1176710;1180660;1184370;1213700;1216490;1218520;1222680;1223870;1237970;1238860;1245430;1245620;1259140;1262580;1269500;1271710;1294660;1330000;1356040;1361210;1367300;1368870;1373430;1393750;1422450;1449560;1456200;1486630;1507190;1515950;1604030;1608450;1659040;1703140;1722860;1745510;1755300;1755910;1785150;1794680;1808500;1818750;1966720;1990740;2060160;2149010;2166060;2337860;2427410;2543510;2622380;2747770;2780980;2796010;2828500;2940490;2955840;3017580;3028500;3062930;3144950;3286930;3463050;3527290;3837340
